"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"533",21841,49,1,1,1,61500,0,0,0,0,0,0,0
"535",21958,31,6,0,11,93000,1,0,0,0,0,0,1
"537",22030,33,6,0,10,4800,0,0,0,0,0,0,0
"538",22185,61,4,1,1,106000,0,0,0,0,0,0,0
"540",22310,42,1,1,1,369000,0,0,0,0,0,0,0
"542",22357,26,1,0,9,100000,1,0,0,0,0,1,0
"544",22394,42,6,0,2,69000,1,1,0,0,0,0,0
"545",22394,39,1,0,10,69000,0,0,0,0,0,0,0
"547",22454,51,6,1,1,394500,0,0,0,0,0,0,0
"548",22454,50,6,1,1,394500,0,0,0,0,0,0,0
"549",22473,58,1,1,1,50000,0,0,0,0,0,0,0
"550",22487,34,2,0,2,46900,1,1,0,0,0,0,0
"551",22603,56,1,1,1,75100,0,0,0,0,0,0,0
"552",22797,48,1,1,1,100000,0,0,0,0,0,0,0
"553",22797,42,1,1,1,100000,0,0,0,0,0,0,0
"554",22803,55,1,1,1,274000,0,0,0,0,0,0,0
"555",22803,47,1,1,1,274000,0,0,0,0,0,0,0
"556",22803,25,1,1,1,274000,0,0,0,0,0,0,0
"557",22827,55,1,1,1,197100,0,0,0,0,0,0,0
"559",22860,63,2,1,1,105000,0,0,0,0,0,0,0
"561",22862,38,1,1,1,350000,0,0,0,0,0,0,0
"562",22862,39,7,0,4,350000,1,0,0,1,0,0,0
"563",22914,65,7,1,1,56000,0,0,0,0,0,0,0
"564",22914,58,1,1,1,56000,0,0,0,0,0,0,0
"565",22914,31,1,1,1,56000,0,0,0,0,0,0,0
"566",22930,31,1,0,9,201000,1,0,0,0,0,1,0
"567",22930,35,1,0,9,201000,1,0,0,0,0,1,0
"568",22930,34,1,0,9,201000,1,0,0,0,0,1,0
"570",22979,45,1,0,11,215000,1,0,0,0,0,0,1
"571",22979,44,6,0,10,215000,0,0,0,0,0,0,0
"572",22979,30,1,0,4,215000,1,0,0,1,0,0,0
